ExamCode,ExamTitle,Vendor,Level,Subject,Product,Roles,Time Limit,Price
ANS-C01,Amazon Certified Advanced Networking - Specialty,Amazon,Professional,Cloud,AWS,Network Engineer,170 min,$300
AIF-C01,Amazon Certified AI Practitioner,Amazon,Beginner,AI,AWS,AI Engineer,90 min,$100
DOP-C02,AWS Certified DevOps Engineer - Professional,Amazon,Professional,DevOps,AWS,DevOps Engineer,180 min,$300
DVA-C02,AWS Certified Developer - Associate,Amazon,Associate,Cloud,AWS,Developer,130 min,$150
SAA-C03,AWS Certified Solutions Architect - Associate,Amazon,Associate,Cloud,AWS,Solution Architect,130 min,$150
SAP-C02,AWS Certified Solutions Architect - Professional,Amazon,Professional,Cloud,AWS,Solution Architect,180 min,$300
SCS-C02,AWS Certified Security - Specialty,Amazon,Professional,Security,AWS,Security Engineer,170 min,$300
SOA-C02,AWS Certified SysOps Administrator - Associate,Amazon,Associate,Cloud,AWS,Administrator,130 min,$150
CLF-C02,AWS Certified Cloud Practitioner,Amazon,Beginner,Cloud,AWS,Administrator,90 min,$100
220-1101,CompTIA A+ Core 1,CompTIA,Beginner,IT,CompTIA,Support Technician,90 min,$246
220-1102,CompTIA A+ Core 2,CompTIA,Beginner,IT,CompTIA,Support Technician,90 min,$246
N10-008,CompTIA Network+,CompTIA,Beginner,Networking,CompTIA,Network Engineer,90 min,$358
SY0-701,CompTIA Security+,CompTIA,Beginner,Security,CompTIA,Security Engineer,90 min,$392
CV0-003,CompTIA Cloud+,CompTIA,Intermediate,Cloud,CompTIA,Administrator,90 min,$358
CS0-003,CompTIA CySA+,CompTIA,Intermediate,Security,CompTIA,Security Analyst,165 min,$392
PT0-002,CompTIA PenTest+,CompTIA,Intermediate,Security,CompTIA,Penetration Tester,165 min,$392
CAS-004,CompTIA Advanced Security Practitioner (CASP+),CompTIA,Advanced,Security,CompTIA,Security Architect,165 min,$494
AZ-900,Microsoft Azure Fundamentals,Microsoft,Beginner,Cloud,Azure,Administrator,85 min,$99
AZ-104,Microsoft Azure Administrator,Microsoft,Intermediate,Cloud,Azure,Administrator,120 min,$165
AZ-204,Microsoft Azure Developer,Microsoft,Intermediate,Cloud,Azure,Developer,120 min,$165
